base_1_occupied_pre,base_2_occupied_pre,base_3_occupied_pre,outs_in_inning_so_far_before_event,0,1,2,3,4,5,run_exp
FALSE,FALSE,FALSE,0,0.6946490387469787,0.16023837469872848,0.07595958578265483,0.03734824955747518,0.017294251828809504,0.014510499385353315,0.5659317991784683
TRUE,FALSE,FALSE,0,0.5848008512001055,0.20002734382890208,0.10803641767269612,0.05675149286830228,0.02715451792688739,0.023229376503106636,0.8111196120022839
FALSE,TRUE,FALSE,0,0.5215006889472072,0.21688032451130046,0.1273680469249081,0.07008279835203857,0.03435029861757377,0.02981784264697185,0.9683552211223867
FALSE,FALSE,TRUE,0,0.46823942150601566,0.22690921258412072,0.14382551032315027,0.08279708326002067,0.04158244746277173,0.03664632486392094,1.1125128971811749
TRUE,TRUE,FALSE,0,0.4029048566498174,0.2331169578597339,0.16368332770432759,0.10058900211612443,0.05241285219965919,0.04729300347033749,1.3083670457670866
TRUE,FALSE,TRUE,0,0.35282479627220625,0.23254810030602818,0.17798590258109848,0.11609073423755645,0.06266582377520769,0.057884642827902955,1.47687861742124
FALSE,TRUE,TRUE,0,0.29669150979573067,0.22539716517884478,0.19187756602494,0.13554470153444775,0.07692704512783988,0.07356201233819692,1.6913046440344122
TRUE,TRUE,TRUE,0,0.20709356145589278,0.1963783149922069,0.20366523669286007,0.17039438019403574,0.10879817217178422,0.11367033449322028,2.1184362901132725
FALSE,FALSE,FALSE,1,0.8164625954698003,0.10366467892062958,0.04327169252750307,0.020079574561133406,0.009047909503803298,0.0074735490171303764,0.324006170759901
TRUE,FALSE,FALSE,1,0.7336323981376275,0.1434024485164085,0.0651504757850363,0.03139841261834564,0.014400554819261169,0.012015710123320922,0.4855794078351673
FALSE,TRUE,FALSE,1,0.6806310812493552,0.16597009009181518,0.07992425301808237,0.0395973080369848,0.018403198399911558,0.01547406920385086,0.5955936598578349
FALSE,FALSE,TRUE,1,0.6326039390294874,0.18421150629549254,0.09380487085315103,0.04778415608123132,0.022513186329007562,0.01908234141163012,0.7006381686196694
TRUE,TRUE,FALSE,1,0.568869851036609,0.20473102694374,0.11285805479198241,0.059940994614734344,0.02884269420264618,0.024757378410288022,0.8494277892339327
TRUE,FALSE,TRUE,1,0.5159876075886453,0.21810501922904812,0.12906891645586271,0.07133135030451931,0.03504373700963481,0.030463369412289776,0.9827286981543196
FALSE,TRUE,TRUE,1,0.4520267730256003,0.22911631111772163,0.1488168761081642,0.08697313409275864,0.04404528492026172,0.039021620735493534,1.1589587089708404
TRUE,TRUE,TRUE,1,0.33806775510599457,0.23137993066300983,0.18191844989729977,0.12099029042073761,0.06609498714232243,0.061548586770635794,1.5303105841422908
FALSE,FALSE,FALSE,2,0.8968940185514722,0.06060083760281054,0.02344681605495924,0.010540616865144625,0.004681785870746857,0.003835925054866518,0.17702308906548292
TRUE,FALSE,FALSE,2,0.8434002500357455,0.08969662815435042,0.03647764390959107,0.016739751291137694,0.007504692723345641,0.00618103388582969,0.27379511016947666
FALSE,TRUE,FALSE,2,0.8064789013656806,0.10871792166709027,0.04582966491438323,0.021357333019703217,0.009642568098017557,0.007973610935125164,0.3428875776226624
FALSE,FALSE,TRUE,2,0.7710097813169182,0.12610194394208474,0.05509286493734,0.026082473513250215,0.011862525082364406,0.00985041120804242,0.4112372507261851
TRUE,TRUE,FALSE,2,0.7206844713507,0.14913622044892982,0.06870482633804309,0.03332662608335524,0.015332087931576921,0.01281576784739491,0.511932942338364
TRUE,FALSE,TRUE,2,0.6758116902600153,0.1678995353711844,0.08129660225760116,0.04038463008529647,0.01879341288183367,0.01581412914406899,0.6058909273899558
FALSE,TRUE,TRUE,2,0.6173068339299765,0.18953957019567735,0.09831709346482276,0.05055963147063702,0.023933633511355024,0.020343237427531302,0.7353033727203105
TRUE,TRUE,TRUE,2,0.49967520429954476,0.22148336411467323,0.13410921427418232,0.07511433839265502,0.03716647282659713,0.032451406092347534,1.0259677296091292
